WORD,COUNT
Or,10
Poor,10
desperate,10
companion,10
downwards,10
lady,10
horn,10
drowned,10
delay,10
summer,10
o,10
willow,10
after,10
blood,10
houses,10
Is,10
custom,10
cover,10
arrows,10
hanging,10
bitter,10
craft,10
main,10
glade,10
noises,10
kindly,10
Every,10
Ringwraiths,9
greatest,9
defeat,9
cruel,9
loved,9
journeys,9
Precious,9
ending,9
mischief,9
barrow,9
waggon,9
gasped,9
curtains,9
Can,9
bone,9
spent,9
pressed,9
ung,9
galadriel,9
saved,9
Westernesse,9
horror,9
draw,9
tune,9
despair,9
outer,9
fairly,9
Quest,9
played,9
under,9
points,9
force,9
Bob,9
Lets,9
ages,9
they,9
stranger,9
write,9
what,9
dragons,9
cloth,9
springing,9
Sword,9
fault,9
abroad,9
dreams,9
pipe,9
Fredegar,9
named,9
Seven,9
bid,9
reworks,9
younger,9
passages,9
impossible,9
these,9
Arathorn,9
root,9
bread,9
draught,9
iron,9
shaft,9
Durin,9
neck,9
seized,9
Sarn,9
drive,9
absurd,9
Emyn,9
Muil,9
Something,9
beg,9
happen,9
tears,9
minute,9
mounted,9
reckoning,9
tower,9
mound,9
eager,9
wildly,9
odd,9
Havens,9
telling,9
attempt,9
relieved,9
Merrys,9
easily,9
mountain,9
Id,9
offer,9
idle,9
cousin,9
keeping,9
Neither,9
remote,9
Third,9
ood,9
Marish,9
mushrooms,9
books,9
Farmer,9
Goodbye,9
Ho,9
Kingdom,9
rocky,9
stands,9
shrill,9
peculiar,9
his,9
limbs,9
Northern,9
bite,9
y,9
rough,9
wouldnt,9
usual,9
throw,9
closer,9
curious,9
liked,9
Delving,9
Michel,9
leaning,9
warn,9
reckon,9
twinkling,9
heights,9
sailing,9
Lorin,9
beat,9
bringing,9
agreed,9
greatly,9
lately,9
muttering,9
relief,9
thrown,9
branch,9
throat,9
stuck,9
wealth,9
revealed,9
snifng,9
replied,9
roaring,9
nish,9
creeping,9
rolling,9
barrowdowns,9
astonishment,9
reported,9
bones,9
harsh,9
concern,9
delayed,9
paddle,9
lo,9
hide,9
quest,9
slain,9
proper,9
unable,9
joined,9
lose,9
hunting,9
Greenway,9
Bane,9
clutching,9
needs,9
surely,9
affair,8
nine,8
hiss,8
string,8
glittering,8
offered,8
marked,8
lunch,8
obviously,8
kitchen,8
pavilion,8
carrying,8
grave,8
blocked,8
glowed,8
rightly,8
pointed,8
wine,8
Give,8
easier,8
Put,8
anger,8
packed,8
knock,8
couple,8
chairs,8
midday,8
pushed,8
returning,8
giving,8
rumours,8
Only,8
carefully,8
darker,8
Drogo,8
fool,8
search,8
Row,8
longed,8
vanish,8
rumour,8
wave,8
understood,8
twenty,8
unknown,8
Perhaps,8
form,8
edges,8
departed,8
hints,8
ordinary,8
See,8
Arwen,8
children,8
concerning,8
continued,8
promised,8
race,8
pursued,8
unseen,8
proud,8
uneasy,8
thief,8
sped,8
shuddered,8
Since,8
wherever,8
sorrow,8
Gladden,8
beds,8
behold,8
Eye,8
pleased,8
ness,8
nearest,8
ruined,8
First,8
worth,8
hated,8
glinted,8
tended,8
Gebir,8
rubbed,8
whispering,8
Pony,8
endure,8
would,8
watchful,8
therefore,8
Meriadoc,8
Whatever,8
meanwhile,8
Tol,8
Brandir,8
denly,8
trembling,8
rivers,8
Two,8
beard,8
spirits,8
sunset,8
crowded,8
dwellings,8
hastily,8
rested,8
fought,8
region,8
steeply,8
plenty,8
approaching,8
battle,8
heed,8
riders,8
Ringbearer,8
Beneath,8
legend,8
Rider,8
lighter,8
breathed,8
rim,8
lord,8
Gloin,8
join,8
bearing,8
tunnels,8
settle,8
build,8
imagine,8
advise,8
divided,8
attention,8
ashortcuttomushrooms,8
upwards,8
brightly,8
ale,8
tail,8
missed,8
sounded,8
delighted,8
rippling,8
glint,8
mouths,8
danced,8
turns,8
vague,8
smell,8
shaken,8
Follow,8
twisted,8
gleaming,8
ward,8
stumbled,8
wider,8
jacket,8
Almost,8
foul,8
axe,8
cow,8
glimmer,8
threshold,8
tom,8
naught,8
becoming,8
Keep,8
favourite,8
barren,8
Galdor,8
blades,8
prancing,8
strider,8
Never,8
messenger,8
goods,8
t,8
dance,8
Also,8
garments,8
colour,8
study,8
a,8
ridiculous,7
Winter,7
Stair,7
Mirrormere,7
woodland,7
icy,7
sloping,7
shaped,7
mad,7
youve,7
marshes,7
Wake,7
whistled,7
sheltered,7
curled,7
sleepy,7
invited,7
obliged,7
lifting,7
Fangorn,7
quicker,7
Battle,7
anxiety,7
Stock,7
hillside,7
le,7
pick,7
gems,7
yonder,7
veiled,7
Day,7
starting,7
host,7
porch,7
luggage,7
cheerful,7
blowing,7
shown,7
stir,7
hiding,7
price,7
why,7
driving,7
ladder,7
moonlight,7
khazaddu,7
rushing,7
Get,7
swim,7
token,7
mithril,7
dwindled,7
derry,7
stage,7
paddles,7
Wild,7
troll,7
Boromirs,7
enchanted,7
dancing,7
holiday,7
dale,7
studied,7
stooping,7
surprised,7
intently,7
wield,7
surface,7
Thank,7
depths,7
Your,7
glinting,7
heather,7
reluctant,7
useless,7
Welcome,7
arrived,7
bombadil,7
agree,7
clothed,7
grimly,7
melt,7
hammer,7
throwing,7
drift,7
Make,7
smoking,7
alas,7
trusted,7
hesitated,7
wake,7
whither,7
occasion,7
although,7
pay,7
ruins,7
wrote,7
self,7
Thorin,7
washed,7
hilltops,7
mounds,7
Everything,7
inquisitive,7
brings,7
Fields,7
northwards,7
blind,7
thicker,7
riddle,7
naked,7
malice,7
miserable,7
To,7
healing,7
blindly,7
m,7
hue,7
merely,7
glowing,7
reveal,7
When,7
test,7
numerous,7
Lumpkin,7
secretly,7
burdens,7
considering,7
corners,7
familiar,7
sinking,7
whistling,7
worn,7
Breeland,7
sadly,7
recalled,7
com,7
travel,7
drumbeats,7
received,7
deny,7
notes,7
yards,7
daresay,7
toes,7
Green,7
roused,7
Little,7
carved,7
spreading,7
memories,7
sons,7
troubles,7
nobody,7
Often,7
unexpected,7
refused,7
steel,7
September,7
advanced,7
slip,7
event,7
partly,7
louder,7
happily,7
cup,7
declared,7
match,7
rid,7
con,7
descended,7
somewhere,7
bleak,7
worried,7
pulled,7
shouldnt,7
helm,7
Orthanc,7
Anyway,7
slipping,7
serious,7
beaten,7
Have,7
original,7
terried,7
otherwise,7
streaming,7
tongues,7
valiant,7
stroke,7
accounts,7
yard,7
heavens,7
shine,7
somewhat,7
makes,7
broader,7
accepted,7
runes,7
nodded,7
mingled,7
settled,7
aconspiracyunmasked,7
Four,7
wooded,7
fold,7
orders,7
stray,7
log,7
regret,7
House,7
size,7
gravely,7
rope,7
Cant,7
lamp,7
taught,7
crawled,7
reckoned,7
reappeared,7
rustle,7
honour,7
cautiously,7
foolish,7
SR,7
Galadhon,6
Caras,6
Aragorns,6
archway,6
instant,6
howls,6
heavily,6
Glamdring,6
crystal,6
box,6
holds,6
waning,6
Say,6
vale,6
permitted,6
Dol,6
debate,6
Denethor,6
Imladris,6
Osgiliath,6
brother,6
beauty,6
Gloi,6
Loren,6
summoned,6
erce,6
ruin,6
madness,6
Fly,6
